unboxer_id,feature_skimask1,feature_skimask2,feature_skimask3,feature_skimask4,feature_skimask5,feature_skimask6,feature_skimask7,feature_skimask8,feature_skimask9,feature_skimask10,feature_skimask11,feature_skimask12,feature_skimask13,feature_skimask14,feature_skimask15,feature_skimask16,feature_skimask17,feature_skimask18,feature_skimask19,feature_skimask20,feature_skimask21,feature_skimask22,feature_skimask23,feature_skimask24,feature_skimask25,feature_skimask26,feature_skimask27,feature_skimask28,feature_skimask29,feature_skimask30,feature_skimask31,feature_skimask32,feature_skimask33,feature_skimask34,feature_skimask35,feature_skimask36,feature_skimask37,feature_skimask38,feature_skimask39,feature_skimask40,feature_skimask41,feature_skimask42,feature_skimask43,feature_skimask44,feature_skimask45,feature_skimask46,feature_skimask47,feature_skimask48,feature_skimask49,feature_skimask50,feature_skimask51,feature_skimask52,feature_skimask53,feature_skimask54,feature_skimask55,feature_skimask56,feature_skimask57,feature_skimask58,feature_skimask59,feature_skimask60,feature_beartrap1,feature_beartrap2,feature_beartrap3,feature_beartrap4,feature_beartrap5
1239,1,0,0,1,0,-1,0,1,0,0,1,0,0,0,-1,-1,0,0,0,0,0,-1,0,1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,-1,NaN,0,9,0,56
1240,NaN,1,1,NaN,-1,NaN,1,NaN,NaN,1,NaN,1,NaN,1,NaN,NaN,-1,1,1,1,NaN,NaN,1,NaN,NaN,1,1,NaN,0,1,NaN,0,NaN,1,1,1,1,-1,1,NaN,-1,1,NaN,NaN,NaN,0,NaN,-1,NaN,1,NaN,-1,NaN,1,1,0,1,1,NaN,NaN,NaN,0,9,0,80
1241,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,-1,0,-1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,81,0,9,0,65
1242,NaN,-1,1,NaN,1,NaN,1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,1,1,NaN,NaN,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,-1,-1,NaN,1,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,-1,NaN,1,NaN,NaN,NaN,0,9,0,82
1243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0,7,0,61
1244,1,1,1,-1,1,-1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,1,1,1,-1,0,1,0,1,1,1,0,1,1,-1,1,1,1,-1,1,1,-1,-1,0,1,-1,1,-1,0,1,1,1,1,1,1,1,1,1,1,-1,0,1,-1,1,NaN,0,9,0,43
1245,NaN,1,1,NaN,-1,NaN,-1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1,NaN,NaN,1,NaN,NaN,1,-1,NaN,1,NaN,NaN,NaN,NaN,1,-1,-1,NaN,1,1,NaN,-1,1,NaN,NaN,NaN,1,NaN,NaN,NaN,-1,NaN,1,NaN,1,NaN,-1,NaN,1,NaN,NaN,24,1,9,0,44
1246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47,2,9,0,82
1247,1,1,1,1,-1,1,1,1,-1,-1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,0,-1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,0,-1,-1,-1,1,-1,1,-1,1,1,1,-1,1,1,0,1,NaN,0,9,0,56
1248,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,NaN,2,9,0,69
1249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,9,0,69
1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,4
1251,NaN,-1,-1,NaN,1,NaN,-1,NaN,1,-1,NaN,1,-1,-1,NaN,-1,-1,1,1,-1,-1,-1,1,NaN,1,-1,1,NaN,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,NaN,NaN,1,-1,NaN,1,NaN,1,NaN,1,NaN,1,1,1,-1,1,0,NaN,1,2,3,0,NaN
1252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111,0,9,0,15
1253,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,1,NaN,0,NaN,0,NaN,NaN,NaN,NaN,78,0,7,0,101
1254,1,-1,-1,0,-1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,-1,1,1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,0,-1,132,1,7,0,NaN
1255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,9,3,56
1256,1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,0,1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,NaN,0,3,0,21
1257,1,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,NaN,2,9,0,97
1258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,24
1259,NaN,-1,1,NaN,-1,NaN,-1,NaN,-1,-1,NaN,1,-1,-1,NaN,-1,-1,-1,-1,1,-1,NaN,-1,NaN,-1,-1,-1,NaN,1,1,NaN,1,1,1,-1,1,1,-1,-1,NaN,1,1,NaN,NaN,-1,-1,NaN,-1,NaN,1,NaN,-1,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,2,3,3,NaN
1260,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,1,1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-1,NaN,-1,-1,NaN,-1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,91,0,9,0,75
1261,-1,1,1,-1,1,-1,1,1,0,1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,NaN,-1,-1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,1,-1,1,-1,NaN,NaN,-1,1,-1,-1,0,1,1,1,-1,-1,1,-1,-1,-1,-1,NaN,NaN,0,9,0,69
1262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,9,0,70
1263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,0,7,0,86
1264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,9,0,95
1265,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,9,0,100
1266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,0,NaN
1267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,0,NaN
1268,1,1,1,1,1,NaN,1,NaN,1,1,NaN,1,1,1,NaN,1,-1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,NaN,NaN,1,1,NaN,1,NaN,1,1,1,NaN,1,1,1,1,1,1,NaN,NaN,0,9,0,56
1269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,10,0,7
1270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,2,9,0,NaN
1271,1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,NaN,0,9,0,78
1272,0,1,1,1,-1,0,-1,1,0,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,0,-1,1,1,1,1,-1,-1,0,1,-1,-1,-1,-1,-1,0,1,1,1,0,1,-1,0,1,1,-1,1,1,-1,1,1,-1,1,1,0,1,NaN,0,9,0,24
1273,0,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,1,0,1,NaN,0,3,0,49
1274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,0,61
1275,1,1,1,0,-1,-1,1,1,1,0,NaN,1,1,0,NaN,-1,1,1,1,1,1,1,1,NaN,1,-1,1,NaN,-1,1,-1,1,1,1,1,-1,1,-1,1,1,-1,1,NaN,NaN,0,-1,NaN,1,1,1,1,-1,1,-1,-1,-1,1,1,-1,NaN,NaN,0,NaN,0,NaN
1276,NaN,1,1,NaN,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,1,1,NaN,NaN,1,NaN,NaN,1,1,NaN,1,NaN,NaN,NaN,NaN,1,1,1,NaN,-1,-1,NaN,1,-1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,-1,NaN,1,NaN,NaN,NaN,0,3,0,NaN
1277,0,1,1,0,-1,NaN,0,NaN,0,-1,NaN,1,0,0,NaN,0,-1,-1,1,-1,0,0,0,NaN,0,1,-1,NaN,1,0,0,-1,0,1,0,-1,0,-1,-1,1,-1,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,-1,NaN,0,0,0,0,0,-1,NaN,NaN,0,5,0,50
1278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,9,0,56
1279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,62
1280,1,1,1,-1,-1,-1,1,-1,1,0,1,1,-1,-1,0,1,-1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,0,1,-1,1,0,-1,-1,NaN,0,9,0,39
1281,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,1,0,-1,-1,-1,1,1,-1,-1,73,0,3,0,79
1282,0,-1,1,1,-1,0,1,-1,-1,1,1,1,0,0,1,-1,-1,0,1,-1,1,0,1,1,0,0,1,1,1,1,1,1,0,-1,1,-1,1,-1,-1,0,-1,1,1,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,-1,0,0,-1,NaN,2,9,1,15
1283,1,1,1,1,-1,0,0,1,1,0,1,1,-1,1,0,0,0,1,1,1,1,1,1,1,0,-1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,1,18,0,9,0,75
1284,0,1,1,0,-1,-1,-1,1,1,1,1,1,-1,1,0,1,-1,1,1,1,-1,-1,1,1,1,-1,1,0,1,1,-1,1,-1,1,-1,1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,0,1,120,0,7,0,94
1285,NaN,1,1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,1,NaN,NaN,NaN,NaN,-1,NaN,-1,1,NaN,NaN,1,NaN,NaN,1,1,NaN,1,1,NaN,1,NaN,1,-1,1,NaN,-1,-1,NaN,-1,1,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,-1,NaN,1,-1,-1,NaN,1,NaN,NaN,NaN,0,3,0,NaN
1286,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,0,-1,1,1,-1,1,1,1,1,-1,-1,1,1,-1,1,0,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,0,-1,0,1,1,-1,1,-1,-1,0,NaN,0,9,0,33
1287,NaN,1,1,NaN,-1,NaN,-1,NaN,NaN,1,NaN,1,1,1,NaN,NaN,-1,1,-1,1,1,NaN,1,NaN,1,1,-1,NaN,1,1,NaN,1,1,1,1,1,-1,1,1,NaN,-1,1,NaN,NaN,1,1,NaN,-1,NaN,1,NaN,-1,NaN,1,1,-1,1,1,NaN,NaN,NaN,0,9,0,64
1288,-1,1,1,1,1,-1,1,1,-1,-1,1,1,0,0,1,1,1,1,1,-1,1,0,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,0,-1,-1,1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,-1,0,1,0,-1,NaN,0,3,0,49
1289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,9,0,23
1290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,3,76
1291,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,0,1,0,-1,-1,1,1,-1,0,1,0,0,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,0,1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,0,1,-1,0,52,0,9,0,4
1292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29,0,9,0,80
1293,-1,1,1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,NaN,2,5,0,50
1294,NaN,-1,1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,1,1,1,NaN,NaN,1,NaN,NaN,-1,1,NaN,1,1,NaN,-1,NaN,1,-1,-1,1,-1,1,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,1,NaN,1,NaN,-1,NaN,1,1,-1,NaN,1,NaN,NaN,NaN,2,3,0,12
1295,-1,1,1,-1,1,-1,-1,1,-1,0,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,NaN,0,9,0,4
1296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7,0,91
1297,-1,0,1,1,-1,1,0,1,-1,0,1,1,1,0,1,1,-1,1,-1,1,1,0,1,1,1,0,1,1,1,1,0,1,-1,1,1,-1,1,-1,1,0,-1,1,1,1,1,0,-1,0,-1,1,0,-1,1,1,1,-1,-1,0,0,0,NaN,0,9,0,95
1298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,1,9,0,58
1299,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,NaN,0,9,0,97
1300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,9,0,80
1301,-1,0,1,0,-1,0,1,0,0,1,1,1,1,1,-1,1,-1,0,-1,1,0,0,-1,1,0,0,0,1,1,0,-1,1,-1,1,-1,-1,-1,-1,1,0,-1,0,1,-1,0,0,0,-1,0,-1,0,-1,0,0,0,-1,0,0,0,0,56,0,3,3,1
1302,1,1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,22,0,7,0,37
1303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,9,0,39
1304,1,1,1,1,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,-1,1,1,0,0,1,0,0,1,-1,1,0,1,-1,0,-1,0,0,0,-1,-1,-1,1,1,1,-1,1,-1,1,NaN,0,9,0,82
